,date,open,close,high,low,volume,code
0,2015-12-04,39.561,40.197,41.951,38.356,35158.0,300364
1,2015-12-07,40.163,41.649,43.575,39.161,31541.0,300364
2,2015-12-08,40.971,40.577,41.746,39.963,19410.0,300364
3,2015-12-09,40.163,37.352,40.163,36.523,30119.0,300364
4,2015-12-10,37.372,36.006,38.958,34.942,30691.0,300364
5,2015-12-11,37.111,35.765,37.452,35.147,19902.0,300364
6,2015-12-14,34.952,37.344,37.35,34.944,20711.0,300364
7,2015-12-15,37.553,38.856,39.898,37.051,24975.0,300364
8,2015-12-16,38.932,41.489,42.284,38.635,29562.0,300364
9,2015-12-17,41.487,41.471,42.935,40.442,24101.0,300364
10,2015-12-18,41.471,40.133,41.471,39.159,22329.0,300364
11,2015-12-21,39.965,38.322,39.965,37.545,19949.0,300364
12,2015-12-22,38.918,38.758,39.561,37.76,15594.0,300364
13,2015-12-23,38.758,38.015,39.336,37.352,18540.0,300364
14,2015-12-24,38.151,37.553,38.151,36.308,20870.0,300364
15,2015-12-25,37.557,36.95,38.043,36.147,20903.0,300364
16,2015-12-28,36.95,35.243,37.324,34.998,20853.0,300364
17,2015-12-29,35.195,36.031,36.147,33.994,20706.0,300364
18,2015-12-30,36.147,35.749,36.444,35.143,16137.0,300364
19,2015-12-31,35.549,35.745,35.846,34.187,24021.0,300364
20,2016-01-04,35.545,32.171,35.545,32.171,16390.0,300364
21,2016-01-05,28.954,28.954,30.625,28.954,38266.0,300364
22,2016-01-06,29.319,29.922,30.625,27.693,37214.0,300364
23,2016-01-07,29.319,26.93,29.319,26.93,7287.0,300364
24,2016-01-08,26.93,25.498,27.534,24.261,40154.0,300364
25,2016-01-11,24.5,23.395,25.022,22.983,34380.0,300364
26,2016-01-12,23.696,25.735,25.735,23.498,48329.0,300364
27,2016-01-13,26.106,25.042,26.64,24.901,41330.0,300364
28,2016-01-14,22.793,27.546,27.546,22.793,45994.0,300364
29,2016-01-15,27.546,27.508,28.506,26.51,38536.0,300364
30,2016-01-18,26.711,25.901,27.914,25.452,59723.0,300364
31,2016-01-19,24.7,25.464,26.323,23.373,71224.0,300364
32,2016-01-20,24.799,24.321,25.566,24.108,47902.0,300364
33,2016-01-21,23.696,21.889,23.998,21.889,49455.0,300364
34,2016-01-22,20.285,20.246,20.861,19.981,81082.0,300364
35,2016-01-25,20.594,22.271,22.271,20.594,95657.0,300364
36,2016-01-26,21.688,20.044,21.688,20.044,89709.0,300364
37,2016-01-27,19.479,20.519,20.732,18.879,65780.0,300364
38,2016-01-28,20.082,20.14,20.801,19.68,47913.0,300364
39,2016-01-29,19.981,21.285,22.044,19.704,54090.0,300364
40,2016-02-01,20.905,20.594,21.246,19.841,40660.0,300364
41,2016-02-02,20.704,22.09,22.311,20.704,46472.0,300364
42,2016-02-03,21.467,22.65,22.953,21.186,39944.0,300364
43,2016-02-04,22.773,22.602,23.817,22.313,39136.0,300364
44,2016-02-05,22.489,21.75,22.755,21.688,20608.0,300364
45,2016-02-15,20.863,22.293,22.893,20.505,24471.0,300364
46,2016-02-16,22.431,23.054,23.857,22.307,28684.0,300364
47,2016-02-17,22.889,22.668,23.004,22.006,47593.0,300364
48,2016-02-18,22.933,22.973,23.897,22.696,40181.0,300364
49,2016-02-19,22.893,22.74,23.253,22.291,27892.0,300364
50,2016-02-22,23.094,22.793,23.094,22.409,29095.0,300364
51,2016-02-23,22.893,21.291,22.977,20.714,52786.0,300364
52,2016-02-24,20.889,21.104,21.287,20.176,41155.0,300364
53,2016-02-25,21.086,18.993,21.152,18.993,37578.0,300364
54,2016-02-26,18.843,18.116,19.17,17.551,34265.0,300364
55,2016-02-29,17.471,16.304,17.67,16.304,31726.0,300364
56,2016-03-01,15.764,16.324,16.634,15.152,47091.0,300364
57,2016-03-02,15.985,17.529,17.933,15.941,48215.0,300364
58,2016-03-03,17.471,17.186,18.232,17.106,40398.0,300364
59,2016-03-04,16.869,15.545,17.248,15.467,37624.0,300364
60,2016-03-07,15.869,17.1,17.1,15.869,54410.0,300364
61,2016-03-08,17.128,17.509,17.873,15.764,63124.0,300364
62,2016-03-09,16.8,17.063,17.971,16.467,37391.0,300364
63,2016-03-10,17.15,16.828,17.748,16.678,27346.0,300364
64,2016-03-11,16.344,16.895,17.23,16.176,31575.0,300364
65,2016-03-14,17.246,18.584,18.584,17.148,67917.0,300364
66,2016-03-15,18.286,18.049,18.945,18.011,61427.0,300364
67,2016-03-16,18.555,17.662,18.664,17.411,31852.0,300364
68,2016-03-17,17.925,18.977,19.419,17.592,54881.0,300364
69,2016-03-18,19.475,20.869,20.869,19.078,60556.0,300364
70,2016-03-21,21.586,21.005,21.668,20.459,54470.0,300364
